countries,total_recovered,active_cases,total_cases_per_million,death_per_million,new_cases,total_cases,total_deaths,new_deaths
"
",47787.0,555376.0,0.0,0.0,1262.0,628326.0,0.0,51.0
"
",240117.0,601170.0,0.0,0.0,15674.0,923060.0,0.0,1784.0
"
",154300.0,149138.0,0.0,0.0,4767.0,315007.0,0.0,218.0
"
",9915.0,42975.0,0.0,0.0,476.0,55170.0,0.0,32.0
"
",4227.0,3560.0,0.0,0.0,58.0,7857.0,0.0,4.0
"
",3126.0,12330.0,0.0,0.0,352.0,16296.0,0.0,2.0
"
",639.0,68.0,0.0,0.0,0.0,721.0,0.0,0.0
Czechia,519.0,5397.0,566.0,13.0,68.0,6059.0,0.0,5.0
Pakistan,1095.0,4308.0,25.0,0.4,266.0,5496.0,0.0,2.0
Saudi Arabia,805.0,4064.0,142.0,2.0,472.0,4934.0,0.0,6.0
Philippines,242.0,4375.0,45.0,3.0,284.0,4932.0,0.0,18.0
Malaysia,2276.0,2464.0,149.0,2.0,134.0,4817.0,0.0,1.0
Mexico,1843.0,2522.0,36.0,2.0,442.0,4661.0,0.0,23.0
Indonesia,380.0,3778.0,17.0,1.0,316.0,4557.0,0.0,26.0
UAE,852.0,3644.0,457.0,3.0,398.0,4521.0,0.0,3.0
Serbia,400.0,3569.0,464.0,10.0,424.0,4054.0,0.0,5.0
Panama,61.0,3317.0,805.0,22.0,72.0,3472.0,0.0,7.0
Luxembourg,500.0,2723.0,5259.0,110.0,11.0,3292.0,0.0,3.0
Qatar,334.0,2890.0,1121.0,2.0,252.0,3231.0,0.0,0.0
Dominican Republic,152.0,2838.0,292.0,16.0,200.0,3167.0,0.0,4.0
Ukraine,97.0,2912.0,71.0,2.0,325.0,3102.0,0.0,10.0
Finland,300.0,2705.0,553.0,11.0,90.0,3064.0,0.0,3.0
Belarus,203.0,2687.0,309.0,3.0,341.0,2919.0,0.0,3.0
Singapore,586.0,2323.0,499.0,2.0,386.0,2918.0,0.0,1.0
Colombia,319.0,2421.0,56.0,2.0,76.0,2852.0,0.0,3.0
Thailand,1288.0,1251.0,37.0,0.6,28.0,2579.0,0.0,2.0
Argentina,515.0,1664.0,50.0,2.0,135.0,2277.0,0.0,8.0
South Africa,410.0,1835.0,38.0,0.5,99.0,2272.0,0.0,2.0
Egypt,589.0,1437.0,21.0,2.0,125.0,2190.0,0.0,5.0
Greece,269.0,1777.0,206.0,9.0,31.0,2145.0,0.0,1.0
Algeria,601.0,1069.0,45.0,7.0,69.0,1983.0,0.0,20.0
Morocco,203.0,1434.0,48.0,3.0,102.0,1763.0,0.0,8.0
Moldova,107.0,1570.0,424.0,9.0,50.0,1712.0,0.0,4.0
Iceland,933.0,770.0,5014.0,23.0,10.0,1711.0,0.0,0.0
Croatia,400.0,1225.0,402.0,6.0,50.0,1650.0,0.0,2.0
Hungary,120.0,1229.0,151.0,11.0,48.0,1458.0,0.0,10.0
Iraq,717.0,583.0,34.0,2.0,26.0,1378.0,0.0,2.0
Bahrain,591.0,764.0,800.0,4.0,225.0,1361.0,0.0,0.0
New Zealand,546.0,798.0,280.0,1.0,19.0,1349.0,0.0,1.0
Estonia,102.0,1202.0,1004.0,21.0,23.0,1332.0,0.0,3.0
Kuwait,150.0,1148.0,304.0,0.5,66.0,1300.0,0.0,1.0
Slovenia,152.0,1005.0,583.0,26.0,7.0,1212.0,0.0,2.0
Azerbaijan,289.0,847.0,113.0,1.0,50.0,1148.0,0.0,1.0
Kazakhstan,138.0,941.0,58.0,0.6,140.0,1091.0,0.0,2.0
Lithuania,101.0,937.0,390.0,9.0,9.0,1062.0,0.0,1.0
Armenia,211.0,814.0,351.0,5.0,26.0,1039.0,0.0,1.0
Bosnia and Herzegovina,206.0,792.0,316.0,12.0,28.0,1037.0,0.0,0.0
Hong Kong,397.0,609.0,135.0,0.5,5.0,1010.0,0.0,0.0
